"weight","SYMBOL"
0.000395342128003624,"DNAJC11"
7.56872449289819e-05,"MYLIP"
0.000884534372159939,"PSMB1"
-0.000300079087408764,"SYN1"
0.000537377540875611,"JARID2"
-0.000340457928163868,"CDKL5"
-0.000863405313503393,"CAMK1G"
0.000292277198016153,"CDK11A"
0.000486569766864753,"NADK"
-0.00214459065748933,"TFAP2B"
-0.000121183349812743,"CYTH3"
-0.000221781613287233,"ADAM22"
0.00036633580583949,"SYPL1"
3.41116820103141e-05,"CYB561"
0.000414827573397913,"SPAG9"
-0.000104140271352693,"CELSR3"
0.000829697614367166,"AASS"
0.000227646457349725,"PLEKHG6"
0.00046716901895097,"SS18L2"
0.000145529391884828,"MPND"
0.00124931404113547,"MGST1"
6.48873970413494e-05,"CRY1"
-0.00135910791642196,"NFIX"
-0.000449410132341523,"ST3GAL1"
-6.68022853960349e-05,"MMP25"
-0.00021199561547883,"IL32"
0.000185627901153741,"PKD1"
-0.000494830431704125,"MAPK8IP2"
0.000488703312593983,"MED24"
-0.000244525982184661,"RHOBTB2"
-0.000210211003572895,"HEATR5B"
0.000449753632001706,"SEC62"
0.00158957163546867,"RPS20"
0.00106102282198145,"CSDE1"
0.000285367663634292,"UBE3C"
-0.000401128246453935,"REV3L"
-0.000139046544415013,"FAM76A"
0.000242156197948525,"POMT2"
0.000389749850924193,"VTA1"
-0.000382948378224819,"MLXIPL"
0.000297224127364789,"BAZ1B"
0.000155345535291573,"RANBP9"
-0.000123091060807137,"SPRTN"
0.000354142341160287,"EEF1AKNMT"
-4.70913796777999e-05,"DYRK4"
0.000792602206080406,"ZNF207"
0.00094143232979594,"UQCRC1"
0.000264211032596158,"STARD3NL"
0.000734213064287481,"CD9"
0.000579490739525598,"NCAPD2"
-0.000214148784201387,"IFFO1"
-0.0011077603061536,"GIPR"
-0.000138111858112683,"PHF7"
0.000306423896049566,"NISCH"
0.000166640759699213,"FUZ"
5.65273450853831e-05,"IDS"
-0.00104039438908343,"PRSS3"
-0.00016702611310869,"ZNF200"
-0.000428115542067491,"CD4"
-0.00057459114205276,"LRRC23"
-3.8900877920434e-05,"SCMH1"
0.000556022962448067,"FYN"
-0.000472871818234923,"HIVEP2"
-0.00127470832869251,"FMO1"
9.07706780692614e-05,"ELOA"
0.000712566164934564,"LYPLA2"
-0.000113654195980064,"CLCN6"
2.03884940158692e-08,"MRC2"
0.00111749663642443,"NME1-NME2"
-3.07676663363853e-06,"TSPAN9"
3.79089898919356e-05,"BTBD7"
-3.56074561716496e-06,"APBA3"
2.11604965484749e-05,"MKS1"
6.25989019625348e-05,"ABHD5"
0.000305457843169718,"ANOS1"
0.000485508177240088,"AKAP8L"
0.000235411159265613,"MBTD1"
0.00051039804050999,"UTP18"
-2.4047318870895e-05,"RNF216"
0.000351153848353608,"TTC19"
0.00115695733258951,"PTBP1"
-9.20229109584873e-05,"DPF1"
-0.000181057269939815,"SYT7"
0.000192218150498094,"LARS2"
0.000283538111397278,"PIK3C2A"
-5.0470255572844e-05,"PLAUR"
0.000455648804030887,"ANLN"
0.000126540717972831,"WIZ"
8.51821495943381e-05,"GPR21"
8.51821495943381e-05,"RABGAP1"
-0.00109822927829807,"DCN"
0.000114612518574879,"QPCTL"
0.000602351197328878,"PPP5C"
4.84239413989018e-05,"CEP68"
0.000332398335234422,"MAP4K3"
0.000149005916979442,"TMEM159"
-0.000389268733225354,"GABRA3"
8.10329219663415e-05,"BRCA1"
0.000398306387341821,"ERCC1"
-0.000316519031119772,"MBTPS2"
-0.000315602949789736,"PRICKLE3"
0.000356412277419892,"EXTL3"
0.000604180283374757,"ELOVL5"
-0.00121629791850634,"KDM5D"
-8.1730656415554e-05,"CALCOCO1"
0.000223709863923453,"UBR7"
0.000161901159563285,"MAP4K5"
-0.000226101152444429,"EHD3"
0.000621256653394289,"PSMC4"
-0.000406097373769274,"MAN2B2"
-0.000418805379984593,"CLDN11"
